property_number,description,cost
0000-04-03-OtE037.MP1-CPO,"Laser mounting pole kit
Huepar LP36 - 3.7m Lasers Level Adapter Tripod",
0000-04-03-IT0070.AVR1-CPO,"Automatic Voltage Regulator (AVR) 
Akari, AVR-SVC 500",
0000-04-03-IT0070.AVR2-CPO,"Automatic Voltage Regulator (AVR) 
Akari, AVR-SVC 500",
0000-04-03-IT0070.AVR3-CPO,"Automatic Voltage Regulator (AVR) 
Akari, AVR-SVC 500",
0000-04-03-IT0070.AVR4-CPO,"Automatic Voltage Regulator (AVR) 
Akari, AVR-SVC 500",
0000-04-03-IT0070.AVR5-CPO,"Automatic Voltage Regulator (AVR) 
Akari, AVR-SVC 500",
0000-04-02-OE011.PS1-CPO,"Paper Shredder, Acura C506P
S/N: N/A",
0000-04-99-OtE038.PT1-CPO,"Pen Tablet (CTL-672), One by Wacom
SN: 2DA00M1033596",
0000-04-03-IT0092.UPS1-CPO,"UPS, AWP (AID1000-1000VA)
SN: E2307120511",
0000-04-03-IT0093.UPS2-CPO,"UPS, APC Back-UPS 650 (BX650LI-MS)
SN: 9B2005A09911",
0000-04-03-IT0094.UPS3-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894900916",
0000-04-03-IT0060.UPS4-CPO,"UPS, EATON (Eaton 5L 650VA USB PH)
SN: GA53F36B59",
0000-04-03-IT0092.UPS5-CPO,"UPS, AWP (AID850PRO+)
SN: E2203096825",
0000-04-03-IT0010.AP2-CPO,"Ubiquiti airFiber 5XHD
SN: 2041C E063DABF4908",
0000-04-03-IT0095.R6-CPO,"Wireless Router, NetGear56
SN: 2P6C837TA01ED",
0000-04-02-OE011.PS1-CPO,"Paper Shredder, Acura C506P
S/N: N/A",
0000-04-03-IT0096.MD1-CPO,"IP Satellite Modem, Newtec MDM2510
SN: 7294600304248",
0000-04-03-IT0097.WTR1-CPO,"Wireless Travel Router, TP-Link TL-WR902AC
SN: 2208286001272",
0000-04-02-OE014.TV3-CPO,"Television, Samsung
Model:  LH32EDDPLGC/XP
SN: 0L4UHTRH200217D",
0000-04-03-IT0015.K1-CPO,"Keyboard, HP
Model:  KB-0133
SN: B69370MVBRB0U5",
0000-04-03-IT0070.AVR6-CPO,"Automatic Voltage Regulator (AVR)
Model:  POWERCOM - 650A
SN: 20467310502",
0000-04-03-IT0070.AVR7-CPO,"Automatic Voltage Regulator (AVR)
Model:  PROTEC- 220VA
SN: N/A",
0000-04-03-IT0098.R7-CPO,"Router, PROLINK
Model:  H9200A
SN: 1380743005280",
0000-04-03-IT0099.SW1-CPO,"Switch, D-Link
Model:  DES-1008A
SN: QB201A5075012",
0000-04-03-IT0031.C1-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 224C0K3002003",
0000-04-03-IT0100.R8-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 22511C3003092",
0000-04-03-IT0101.SW2-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22510E4002378",
0000-04-03-IT0102.AP3-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 22520A0011958",
0000-04-03-IT0103.HC1-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22070M8000921",
0000-04-03-IT0101.SW3-CPO,"8-Port Gigabit Easy Smart Switch with 4-Port PoE+, TP-Link
Model:  TL-SG108PE
SN: 220A3H7001129",
0000-04-03-IT0036.CT1-CPO,"Cable Tester
Model:  N/A
SN: 946019083",
0000-04-03-IT0037.CST1-CPO,"Crimping Tool
Model:  N/A
SN: N/A",
0000-04-03-IT0102.AP4-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000420",
0000-04-03-IT0036.CT2-CPO,"Cable Tester RJ45+RJ11
Model:  Master BS-468
SN: N/A",
0000-04-03-IT0086.H1-CPO,"Headphone, LOGITECH
Model:  H111
SN: N/A",
0000-04-03-IT0071.SP1-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP2-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP3-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP4-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP5-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP6-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP7-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP8-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP9-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP10-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP11-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP12-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP13-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP14-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP15-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP16-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP17-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP18-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP19-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP20-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP21-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP22-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP23-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP24-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP25-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP26-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP27-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP28-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0071.SP29-CPO,"Speaker, 
Model:  Neutron V-400 Mini Speaker
SN: N/A",
0000-04-03-IT0032.R9-CPO,"Wireless N 4G LTE Router, TP-Link
Model: TL-MR6400
SN: 216C088001571",
0000-04-03-IT0102.AP5-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2236456002027",
0000-04-03-IT0087.R10-CPO,"Router, STARLINK
Model:  UTR-211
SN: WAWC01126793",
0000-04-03-IT0087.R11-CPO,"Router, STARLINK
Model:  UTR-211
SN: WAWC00966342",
0000-04-03-IT0102.AP6-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000411",
0000-04-03-IT0103.HC2-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22373L4000639",
0000-04-03-IT0100.R12-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251003944",
0000-04-03-IT0101.SW4-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22382K8002531",
0000-04-03-IT0103.HC3-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385J4004888",
0000-04-03-IT0100.R13-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251000974",
0000-04-03-IT0101.SW5-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22380E2004307",
0000-04-03-IT0087.R14-CPO,"Router, STARLINK
Model:  UTR-211
SN: WAWC01008807",
0000-04-03-IT0102.AP7-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2236456002031",
0000-04-03-IT0103.HC4-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385j4003775",
0000-04-03-IT0100.R15-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251004558",
0000-04-03-IT0101.SW6-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22382K8002428",
0000-04-03-IT020.DT14.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300891",
0000-04-03-IT0100.R16-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 222B2A6001279",
0000-04-03-IT0105.R17-CPO,"Load Balancer Broadband Router, TP-Link
Model:  TL-R470T+
SN: 22380C1001185",
0000-04-03-IT0100.R18-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 222B2A6001614",
0000-04-03-IT0105.R19-CPO,"Load Balancer Broadband Router, TP-Link
Model:  TL-R470T+
SN: 2237315000355",
0000-04-03-IT0106.AP8-CPO,"Wireless Access Point, BelAir
Model:  BelAir20E0
SN: BA142400304",
0000-04-03-IT0106.AP9-CPO,"Wireless Access Point, BelAir
Model:  BelAir20E0
SN: BA134601316",
0000-04-03-IT0106.AP10-CPO,"Wireless Access Point, BelAir
Model:  BelAir20E0
SN: BA134600805",
0000-04-03-IT0094.UPS6-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894901433",
0000-04-03-IT0094.UPS7-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894900915",
0000-04-03-IT0092.UPS8-CPO,"UPS, AWP (AID1000-1000VA)
SN: E2305074885",
0000-04-03-IT0092.UPS9-CPO,"UPS, AWP (AID1000-1000VA)
SN: E2305106311",
0000-04-03-IT0094.UPS10-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894900913",
0000-04-03-IT0094.UPS11-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894901707",
0000-04-03-IT0092.UPS12-CPO,"UPS, AWP (AID1000-1000VA)
SN: E2305074857",
0000-04-03-IT0094.UPS13-CPO,"UPS, Secure UPS-650VA
SN: 310026736D69894901365",
0000-04-03-IT0102.AP11-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2197094000097",
0000-04-03-IT0107.HDD1-CPO,"HDD, Western Digital SATA 1TB
Model:  WD10PURZ
SN: WCC4J8TW6PX5",
0000-04-03-IT0087.R20-CPO,"Starlink Router, UTR-211
SN: WAWC01008807",
0000-04-03-IT0087.R21-CPO,"Starlink Router, UTR-211
SN: WAWC00852037",
0000-04-03-IT0087.R22-CPO,"Starlink Router, UTR-211
SN: WAWC01175826",
0000-04-03-IT0087.R23-CPO,"Starlink Router, UTR-211
SN: WAWC01126400",
0000-04-03-IT0087.R24-CPO,"Starlink Router, UTR-211
SN: WAWC00887096",
0000-04-03-IT0100.R25-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251004011",
0000-04-03-IT0103.HC5-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385J4004038",
0000-04-03-IT0100.R26-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251000027",
0000-04-03-IT0101.SW7-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22380E2004334",
0000-04-03-IT0103.HC6-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385J4003776",
0000-04-03-IT0100.R27-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251004847",
0000-04-99-OtE038.PT2-CPO,"Pen Tablet (CTL-672), One by Wacom
SN: 2DA00M1033603",
0000-04-03-IT0101.SW8-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22380E2005337",
0000-04-03-IT0103.HC7-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385J4003778",
0000-04-03-IT0100.R28-CPO,"Omada Gigabit VPN Gateway, TP-Link
Model:  ER605(UN)
SN: 2238251003887",
0000-04-03-IT0101.SW9-CPO,"10-Port Gigabit Smart Switch with 8-Port PoE+, TP-Link
Model:  SG2210P(UN)
SN: 22382K8002618",
0000-04-03-IT0103.HC8-CPO,"Omada Hardware Controller, TP-Link
Model:  OC200
SN: 22385J4003871",
0000-04-03-IT0101.SW10-CPO,"5-Port Gigabit Desktop Switch with 4-Port PoE+, TP-Link
Model:  TL-SG1005P
SN: 2235272002158",
2024-04-03-IT0070.AVR8-CPO,"Automatic Voltage Regulator
Model: SVC-5000VA",
2024-04-03-IT0070.AVR9-CPO,"Automatic Voltage Regulator
Model: SVC-5000VA",
0000-04-03-IT0042.PJ2-CPO,"Projector,
Model: INFOCUS IN113AA P13
SN: CMWJ24401171",
0000-04-03-IT0086.H2-CPO,"Headphone, LOGITECH
Model:  H111
SN: N/A",
0000-04-03-IT0076.PJ3-CPO,"Projector, Acer P1287
Model: DNX1403
SN: MRJL411007634010215900",
0000-04-03-IT0102.AP12-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000048",
0000-04-03-IT0102.AP13-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000401",
0000-04-03-IT0102.AP14-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000044",
0000-04-03-IT0102.AP15-CPO,"Wireless Access Point, TP-Link
Model:  EAP225-Outdoor(US) Ver:3.0
SN: 2238644000405",
2024-04-03-IT0035.WC1-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC2-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC3-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC4-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC5-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC6-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC7-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC8-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
